127.0.0.1 - - [25/Aug/2023:13:18:32 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [25/Aug/2023:13:18:33 +0900] "GET /projectC/index.jsp HTTP/1.1" 200 13175
0:0:0:0:0:0:0:1 - - [25/Aug/2023:13:18:33 +0900] "GET /projectC/images/banner01.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [25/Aug/2023:13:18:33 +0900] "GET /projectC/assets/js/jquery.dropotron.min.js HTTP/1.1" 200 5106
0:0:0:0:0:0:0:1 - - [25/Aug/2023:13:18:33 +0900] "GET /projectC/assets/js/browser.min.js HTTP/1.1" 200 1851
0:0:0:0:0:0:0:1 - - [25/Aug/2023:13:18:33 +0900] "GET /projectC/assets/css/main.css HTTP/1.1" 200 70501
0:0:0:0:0:0:0:1 - - [25/Aug/2023:13:18:33 +0900] "GET /projectC/assets/js/jquery.min.js HTTP/1.1" 200 88145
0:0:0:0:0:0:0:1 - - [25/Aug/2023:13:18:33 +0900] "GET /projectC/assets/js/breakpoints.min.js HTTP/1.1" 200 2439
0:0:0:0:0:0:0:1 - - [25/Aug/2023:13:18:33 +0900] "GET /projectC/assets/js/util.js HTTP/1.1" 200 12433
0:0:0:0:0:0:0:1 - - [25/Aug/2023:13:18:33 +0900] "GET /projectC/assets/js/main.js HTTP/1.1" 200 4542
0:0:0:0:0:0:0:1 - - [25/Aug/2023:13:18:33 +0900] "GET /projectC/images/banner02.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [25/Aug/2023:13:18:33 +0900] "GET /projectC/images/banner03.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [25/Aug/2023:13:18:33 +0900] "GET /projectC/images/pic01.jpg HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [25/Aug/2023:13:18:33 +0900] "GET /projectC/images/pic02.jpg HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [25/Aug/2023:13:18:33 +0900] "GET /projectC/images/pic03.jpg HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [25/Aug/2023:13:18:33 +0900] "GET /projectC/assets/css/fontawesome-all.min.css HTTP/1.1" 200 56261
0:0:0:0:0:0:0:1 - - [25/Aug/2023:13:18:33 +0900] "GET /projectC/images/pic04.jpg HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [25/Aug/2023:13:18:33 +0900] "GET /projectC/images/pic05.jpg HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [25/Aug/2023:13:18:33 +0900] "GET /projectC/images/pic06.jpg HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [25/Aug/2023:13:18:33 +0900] "GET /projectC/images/pic07.jpg HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [25/Aug/2023:13:18:33 +0900] "GET /projectC/images/pic08.jpg HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [25/Aug/2023:13:18:33 +0900] "GET /projectC/images/pic09.jpg HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [25/Aug/2023:13:18:33 +0900] "GET /projectC/images/pic10.jpg HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [25/Aug/2023:13:18:33 +0900] "GET /projectC/images/pic11.jpg HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [25/Aug/2023:13:18:33 +0900] "GET /projectC/images/banner02.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [25/Aug/2023:13:18:33 +0900] "GET /projectC/images/banner03.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [25/Aug/2023:13:18:33 +0900] "GET /projectC/images/banner01.jpg HTTP/1.1" 404 843
